element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,1,"=""""","=""1051.022""","=""0.016""","=""""","=""1.18e+07""",A,"=""30925.38""","=""40437.32""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1051.023""","=""0.016""","=""""","=""1.31e+06""",A,"=""30925.38""","=""40437.31""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1051.023""","=""0.016""","=""""","=""6.56e+06""",A,"=""30925.38""","=""40437.31""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
Li,2,"=""""","=""1051.928""","=""0.020""","=""""","=""7.160e+02""",AA,"=""[582630.08]""","=""[592133.83]""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1052.002""","=""0.020""","=""""","=""1.974e+03""",AA,"=""[582630.08]""","=""[592133.16]""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1068.243""","=""0.024""","=""""","=""2.3547e+01""",AAA,"=""[582630.08]""","=""[591988.68]""","=""1s.4d""","=""1D""","=""2""","=""1s.5s""","=""1S""","=""0""",E2,"=""T7378""","=""""",
Li,2,"=""""","=""1075.127""","=""0.016""","=""""","=""7.6914e+06""",AAA,"=""[581884.71]""","=""[591183.39]""","=""1s.4p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1075.173""","=""0.016""","=""""","=""2.3074e+07""",AAA,"=""[581885.11]""","=""[591183.39]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1075.256""","=""0.016""","=""""","=""3.8457e+07""",AAA,"=""[581885.83]""","=""[591183.39]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Li,1,"=""""","=""1079.218""","=""0.016""","=""""","=""1.4e+03""",D,"=""27206.12""","=""36469.55""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,"=""T6620,T5118,LS""","=""""",
Li,1,"=""""","=""1079.218""","=""0.016""","=""""","=""2.7e+03""",D,"=""27206.12""","=""36469.55""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",,"=""T6620,T5118,LS""","=""""",
Li,2,"=""""","=""1092.34""","=""0.14""","=""""","=""1.8062e+07""",AAA,"=""[582836.5]""","=""[591988.68]""","=""1s.4p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",,"=""T8636c73""","=""""",
Li,1,"=""""","=""1097.664""","=""0.017""","=""""","=""4.76e+04""",A,"=""31283.08""","=""40390.84""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1097.664""","=""0.017""","=""""","=""2.38e+05""",A,"=""31283.08""","=""40390.84""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1097.669""","=""0.017""","=""""","=""4.28e+05""",A,"=""31283.12""","=""40390.84""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1103.175""","=""0.017""","=""""","=""9.72e+05""",A,"=""30925.38""","=""39987.64""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1103.175""","=""0.017""","=""""","=""1.95e+06""",A,"=""30925.38""","=""39987.64""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,2,"=""""","=""1089""","=""4""","=""""","=""5.3178e+06""",AAA,"=""[591988.68]""","=""[601169]""","=""1s.5s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
