element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,1,"=""666.2733""","=""0.0014""","=""666.2745""","=""0.0008""","=""5300""","=""2.2e+05""",C,"=""71364.93596""","=""86369.622""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.6s""","=""3P*""","=""2""",,"=""T5520LS""","=""L17684""",
C,1,"=""666.3044""","=""0.0014""","=""666.3043""","=""0.0008""","=""11000""","=""""",,"=""71385.40992""","=""86389.425""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.5d""","=""3D*""","=""2""",,"=""""","=""L17684""",
C,1,"=""667.1840""","=""0.0014""","=""667.1849""","=""0.0008""","=""11000""","=""6.7e+05""",C,"=""71385.40992""","=""86369.622""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.6s""","=""3P*""","=""2""",,"=""T5520LS""","=""L17684""",
C,1,"=""667.4110""","=""0.0014""","=""667.4122""","=""0.0005""","=""8300""","=""3.0e+05""",C,"=""71352.54344""","=""86331.651""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.6s""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""""","=""""","=""667.9649""","=""0.0005""","=""m(He I)""","=""2.2e+05""",C,"=""71364.93596""","=""86331.651""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.6s""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""668.3954""","=""0.0014""","=""668.3972""","=""0.0009""","=""8400""","=""8.9e+05""",C,"=""71364.93596""","=""86321.97""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.6s""","=""3P*""","=""0""",,"=""T5520LS""","=""L17684""",
C,1,"=""668.8787""","=""0.0014""","=""668.8799""","=""0.0005""","=""8400""","=""3.7e+05""",C,"=""71385.40992""","=""86331.651""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.6s""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""671.1291""","=""0.0014""","=""671.13197""","=""0.00003""","=""3500""","=""1.0e+05""",C,"=""68856.35208""","=""83752.4388""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T6070""","=""L17684""",
C,2,"=""672.365""","=""0.004""","=""672.357""","=""0.006""","=""5h*""","=""5.3e+05""",C,"=""168124.17""","=""182993.12""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.6p""","=""2P*""","=""3/2""",,"=""T10276""","=""L1176""",
C,2,"=""672.365""","=""0.004""","=""672.366""","=""0.005""","=""5h*""","=""4.8e+06""",C,"=""168124.37""","=""182993.12""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6p""","=""2P*""","=""3/2""",,"=""T10276""","=""L1176""",
C,2,"=""672.365""","=""0.004""","=""672.366""","=""0.007""","=""5h*""","=""5.16e+06""",B,"=""168124.17""","=""182992.91""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.6p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""""","=""""","=""672.4""","=""0.6""","=""m""","=""""",,"=""221729.73""","=""236596.8""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""3/2""",,"=""""","=""L21568""",
C,2,"=""""","=""""","=""672.4""","=""0.6""","=""m""","=""""",,"=""221729.86""","=""236596.8""","=""2s.2p.(3P*).4f""","=""2D""","=""5/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""3/2""",,"=""""","=""L21568""",
C,2,"=""672.456""","=""0.004""","=""672.4577""","=""0.0014""","=""6""","=""3.16e+06""",B,"=""181696.69""","=""196563.41""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""""","=""""","=""672.47""","=""0.10""","=""m""","=""""",,"=""220130.86""","=""234997.3""","=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).6p""","=""4D""","=""1/2""",,"=""""","=""L21568""",
