element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,3,"=""""","=""346.6128""","=""""","=""""","=""2.84e+07""",C+,"=""365857.89""","=""394700.27""","=""2s.2p2.(4P).3p""","=""5D*""","=""4""","=""2s.2p2.(4P).3d""","=""5F""","=""4""",,"=""T5376LS""","=""""",
O,3,"=""""","=""346.6850""","=""""","=""""","=""6.82e+06""",C+,"=""365730.68""","=""394567.05""","=""2s.2p2.(4P).3p""","=""5D*""","=""3""","=""2s.2p2.(4P).3d""","=""5F""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""346.8421""","=""346.8403""","=""""","=""4""","=""""",,"=""233544.59""","=""262368.05""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""""","=""346.8811""","=""""","=""""","=""""",,"=""232535.949""","=""261356.02""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""347.0281""","=""347.0277""","=""""","=""20""","=""1.09e+08""",B,"=""211522.117""","=""240330.01""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T6632""","=""L10621""",
O,2,"=""347.0676""","=""347.0672""","=""""","=""21""","=""8.63e+07""",B,"=""211712.732""","=""240517.35""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T6632""","=""L10621""",
O,2,"=""""","=""347.07832""","=""""","=""""","=""3.43e+05""",C,"=""203942.288""","=""232745.981""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",,"=""T6172""","=""""",
O,2,"=""347.1402""","=""347.1401""","=""""","=""6""","=""""",,"=""232462.724""","=""261261.29""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""347.4926""","=""347.49260""","=""""","=""5""","=""7.19e+05""",C,"=""203942.288""","=""232711.642""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",,"=""T6172""","=""L10621""",
O,3,"=""""","=""347.5236""","=""""","=""""","=""2.42e+06""",C+,"=""365857.89""","=""394624.68""","=""2s.2p2.(4P).3p""","=""5D*""","=""4""","=""2s.2p2.(4P).3d""","=""5F""","=""3""",,"=""T5376LS""","=""""",
