element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,1,"=""780.681""","=""""","=""780.679""","=""0.004""","=""8""","=""""",,"=""17107.01""","=""29912.85""","=""5d4.6s2""","=""3F2""","=""4""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",,"=""""","=""L153""",
W,1,"=""780.896""","=""""","=""780.894""","=""0.004""","=""60""","=""1.5e+05""",C,"=""14976.18""","=""27778.50""","=""5d4.6s2""","=""3D""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""1""",,"=""T4976""","=""L153""",
W,1,"=""781.244""","=""""","=""781.241""","=""0.004""","=""7""","=""""",,"=""32217.91""","=""45014.54""","=""""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
W,1,"=""781.914""","=""""","=""781.914""","=""0.004""","=""1""","=""""",,"=""41871.94""","=""54657.56""","=""""","=""*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L153c23""",
W,1,"=""781.967""","=""""","=""781.966""","=""0.004""","=""7""","=""""",,"=""26861.64""","=""39646.41""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""782.028""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""782.382""","=""""","=""782.375""","=""0.004""","=""40""","=""""",,"=""29460.98""","=""42239.06""","=""5d5.(2I).6s""","=""3I""","=""7""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,1,"=""782.564""","=""""","=""782.565""","=""0.004""","=""3""","=""""",,"=""26861.64""","=""39636.62""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""782.686""","=""""","=""782.684""","=""0.004""","=""3""","=""""",,"=""31077.80""","=""43850.84""","=""""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
W,1,"=""782.742""","=""""","=""782.736""","=""0.004""","=""15""","=""""",,"=""29479.32""","=""42251.51""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
